file_name,detection_time,detection_prob,class_0,prob_0
50689630516bcb8d0a00006f.wav,0.0,0.954,bat,0.954
50689630516bcb8d0a00006f.wav,0.0,0.956,bat,0.956
50689630516bcb8d0a00006f.wav,0.0,0.956,bat,0.956
50689630516bcb8d0a00006f.wav,0.0,0.959,bat,0.959
50689630516bcb8d0a00006f.wav,0.0,0.958,bat,0.958
50689630516bcb8d0a00006f.wav,0.0,0.96,bat,0.96
50689630516bcb8d0a00006f.wav,0.0,0.959,bat,0.959
50689630516bcb8d0a00006f.wav,0.0,0.959,bat,0.959
50689630516bcb8d0a00006f.wav,0.0,0.959,bat,0.959
50689630516bcb8d0a00006f.wav,0.0,0.959,bat,0.959
50689630516bcb8d0a00006f.wav,0.0,0.961,bat,0.961
50689630516bcb8d0a00006f.wav,0.0,0.961,bat,0.961
50689630516bcb8d0a00006f.wav,0.0,0.961,bat,0.961
50689630516bcb8d0a00006f.wav,0.0,0.96,bat,0.96
50689630516bcb8d0a00006f.wav,0.0,0.962,bat,0.962
50689630516bcb8d0a00006f.wav,0.0,0.962,bat,0.962
50689630516bcb8d0a00006f.wav,0.0,0.961,bat,0.961
50689630516bcb8d0a00006f.wav,0.0,0.959,bat,0.959
50689630516bcb8d0a00006f.wav,0.0,0.961,bat,0.961
50689630516bcb8d0a00006f.wav,0.0,0.961,bat,0.961
50689630516bcb8d0a00006f.wav,0.0,0.962,bat,0.962
50689630516bcb8d0a00006f.wav,0.0,0.962,bat,0.962
50689630516bcb8d0a00006f.wav,0.0,0.963,bat,0.963
50689630516bcb8d0a00006f.wav,0.0,0.961,bat,0.961
50689630516bcb8d0a00006f.wav,0.0,0.962,bat,0.962
50689630516bcb8d0a00006f.wav,0.0,0.961,bat,0.961
50689630516bcb8d0a00006f.wav,0.0,0.962,bat,0.962
50689630516bcb8d0a00006f.wav,0.0,0.961,bat,0.961
50689630516bcb8d0a00006f.wav,0.0,0.961,bat,0.961
50689630516bcb8d0a00006f.wav,0.0,0.961,bat,0.961
50689630516bcb8d0a00006f.wav,0.0,0.961,bat,0.961
50689630516bcb8d0a00006f.wav,0.0,0.961,bat,0.961
50689630516bcb8d0a00006f.wav,0.0,0.961,bat,0.961
50689630516bcb8d0a00006f.wav,0.0,0.96,bat,0.96
50689630516bcb8d0a00006f.wav,0.0,0.96,bat,0.96
